feature	chromosome	start	end	SLX-17921.D704tp_D503tp.H5J55BBXY.s_8.r_1	SLX-16150.D710tp_D505tp.HC22VBBXY.s_3.r_1	SLX-16150.D710tp_D508tp.HC22VBBXY.s_3.r_1
1:204000001-204500000	1	204000001	204500000	1.129	2.011	1.174
1:204500001-205000000	1	204500001	205000000	1.216	1.777	1.151
1:205000001-205500000	1	205000001	205500000	1.47	4.185	1.602
1:205500001-206000000	1	205500001	206000000	1.317	3.842	1.445
1:206500001-207000000	1	206500001	207000000	1.192	3.102	1.265
1:207000001-207500000	1	207000001	207500000	1.243	3.363	1.305
1:207500001-208000000	1	207500001	208000000	1.175	2.418	1.234
1:208000001-208500000	1	208000001	208500000	1.135	2.281	1.156
1:208500001-209000000	1	208500001	209000000	1.129	2.286	1.254
1:209000001-209500000	1	209000001	209500000	1.174	2.22	1.22
1:209500001-210000000	1	209500001	210000000	1.12	1.815	1.152
1:210000001-210500000	1	210000001	210500000	1.086	1.728	1.196
1:210500001-211000000	1	210500001	211000000	1.251	2.096	1.218
1:211000001-211500000	1	211000001	211500000	1.123	2.002	1.126
1:211500001-212000000	1	211500001	212000000	1.064	1.775	1.171
1:212000001-212500000	1	212000001	212500000	1.048	1.614	1.036
1:212500001-213000000	1	212500001	213000000	1.02	1.734	1.113
1:213000001-213500000	1	213000001	213500000	1.126	1.817	1.258
1:213500001-214000000	1	213500001	214000000	1.18	1.873	1.247
1:214000001-214500000	1	214000001	214500000	1.018	1.931	1.082
1:216000001-216500000	1	216000001	216500000	1.083	1.964	1.145
1:216500001-217000000	1	216500001	217000000	1.013	0.907	0.942
1:217000001-217500000	1	217000001	217500000	1.166	2.686	1.151
1:217500001-218000000	1	217500001	218000000	1.167	3.473	1.306
1:218000001-218500000	1	218000001	218500000	1.14	2.914	1.206
1:218500001-219000000	1	218500001	219000000	1.223	3.693	1.358
1:219000001-219500000	1	219000001	219500000	1.268	4.653	1.458
1:219500001-220000000	1	219500001	220000000	1.156	2.804	1.236
1:220000001-220500000	1	220000001	220500000	0.992	0.824	0.895
1:220500001-221000000	1	220500001	221000000	0.95	0.848	0.981
1:221000001-221500000	1	221000001	221500000	0.997	0.82	1.053
1:221500001-222000000	1	221500001	222000000	1.094	0.876	1.064
1:222000001-222500000	1	222000001	222500000	0.969	0.847	1.105
1:222500001-223000000	1	222500001	223000000	0.954	0.784	0.99
1:223000001-223500000	1	223000001	223500000	1.08	0.862	1.113
1:224000001-224500000	1	224000001	224500000	0.856	0.732	0.91
1:224500001-225000000	1	224500001	225000000	1	0.906	1.082
1:225000001-225500000	1	225000001	225500000	0.978	0.809	0.949
1:225500001-226000000	1	225500001	226000000	1.087	0.747	1.018
1:226000001-226500000	1	226000001	226500000	0.974	0.831	0.944
1:227000001-227500000	1	227000001	227500000	0.893	0.856	0.979
1:228000001-228500000	1	228000001	228500000	0.841	0.788	0.963
1:228500001-229000000	1	228500001	229000000	1.122	0.878	1.163
1:229500001-230000000	1	229500001	230000000	0.959	0.848	1.072
1:230000001-230500000	1	230000001	230500000	1.049	0.761	0.968
1:230500001-231000000	1	230500001	231000000	0.993	0.878	1.012
1:231000001-231500000	1	231000001	231500000	1.006	0.824	1.081
1:231500001-232000000	1	231500001	232000000	0.986	0.905	0.989
1:232000001-232500000	1	232000001	232500000	1.059	0.918	0.997
1:232500001-233000000	1	232500001	233000000	0.937	0.899	1.076
1:233500001-234000000	1	233500001	234000000	0.989	0.821	0.961
1:234000001-234500000	1	234000001	234500000	0.995	0.824	0.934
1:234500001-235000000	1	234500001	235000000	0.972	0.776	0.876
1:235000001-235500000	1	235000001	235500000	0.98	0.697	0.893
1:236000001-236500000	1	236000001	236500000	0.949	0.649	1.022
1:236500001-237000000	1	236500001	237000000	0.977	0.908	1.003
1:237000001-237500000	1	237000001	237500000	0.991	0.828	0.974
1:238000001-238500000	1	238000001	238500000	1.018	0.802	0.925
1:238500001-239000000	1	238500001	239000000	0.952	0.666	0.958
1:239000001-239500000	1	239000001	239500000	0.988	0.87	0.991
1:239500001-240000000	1	239500001	240000000	1.017	0.853	1.033
1:240000001-240500000	1	240000001	240500000	0.875	0.784	0.87
