feature	chromosome	start	end	SLX-16150.D711tp_D503tp.HC22VBBXY.s_3.r_1	SLX-16150.D712tp_D504tp.HC22VBBXY.s_3.r_1	SLX-17921.D709tp_D507tp.H5J55BBXY.s_8.r_1
1:190500001-191000000	1	190500001	191000000	1.029	1.012	1.034
1:191000001-191500000	1	191000001	191500000	1.063	0.995	1.018
1:192000001-192500000	1	192000001	192500000	1.077	1.039	0.842
1:192500001-193000000	1	192500001	193000000	1.14	0.954	1.094
1:193000001-193500000	1	193000001	193500000	0.97	0.951	0.948
1:193500001-194000000	1	193500001	194000000	0.926	1.032	0.984
1:194000001-194500000	1	194000001	194500000	0.986	0.995	1.052
1:194500001-195000000	1	194500001	195000000	0.958	0.96	1.003
1:195500001-196000000	1	195500001	196000000	1.048	0.898	1.074
1:196000001-196500000	1	196000001	196500000	1.163	1.039	1.093
1:197000001-197500000	1	197000001	197500000	0.966	1.005	0.977
1:197500001-198000000	1	197500001	198000000	1.115	1.106	0.994
1:198000001-198500000	1	198000001	198500000	1.038	1.094	1.068
1:198500001-199000000	1	198500001	199000000	0.984	1.095	1.027
1:199500001-200000000	1	199500001	200000000	1.199	0.976	0.95
1:200000001-200500000	1	200000001	200500000	0.947	0.917	0.963
1:200500001-201000000	1	200500001	201000000	0.951	0.989	1.038
1:201000001-201500000	1	201000001	201500000	1.002	1.088	0.997
1:201500001-202000000	1	201500001	202000000	1.03	1.049	1.012
1:202000001-202500000	1	202000001	202500000	1.033	1.112	1.06
1:202500001-203000000	1	202500001	203000000	1.074	1.056	1.065
1:203000001-203500000	1	203000001	203500000	0.992	0.995	1.15
1:203500001-204000000	1	203500001	204000000	1.011	1.027	1.037
1:204000001-204500000	1	204000001	204500000	1.057	1.041	1.004
1:204500001-205000000	1	204500001	205000000	1.076	1.058	1.014
1:205000001-205500000	1	205000001	205500000	1.146	0.957	1.068
1:205500001-206000000	1	205500001	206000000	1.147	1.112	1.092
1:206500001-207000000	1	206500001	207000000	0.902	1.101	0.992
1:207000001-207500000	1	207000001	207500000	0.953	1.036	0.942
1:207500001-208000000	1	207500001	208000000	1.026	0.891	0.995
1:208000001-208500000	1	208000001	208500000	1.062	1.045	0.968
1:208500001-209000000	1	208500001	209000000	1.096	0.996	1.009
1:209000001-209500000	1	209000001	209500000	1.154	1.038	0.929
1:209500001-210000000	1	209500001	210000000	0.967	0.983	0.966
1:210000001-210500000	1	210000001	210500000	1.016	1.007	1.07
1:210500001-211000000	1	210500001	211000000	1.027	1.091	0.971
1:211000001-211500000	1	211000001	211500000	0.961	1.005	0.96
1:211500001-212000000	1	211500001	212000000	0.978	0.932	0.96
1:212000001-212500000	1	212000001	212500000	1.019	1.049	0.974
1:212500001-213000000	1	212500001	213000000	1.034	1.079	0.926
1:213000001-213500000	1	213000001	213500000	1.064	0.937	0.965
1:213500001-214000000	1	213500001	214000000	1.081	0.982	0.924
1:214000001-214500000	1	214000001	214500000	0.887	0.997	1.029
1:216000001-216500000	1	216000001	216500000	1.072	1.043	0.98
1:216500001-217000000	1	216500001	217000000	0.967	0.956	1.063
1:217000001-217500000	1	217000001	217500000	0.958	1.003	0.992
1:217500001-218000000	1	217500001	218000000	1.049	0.943	1.015
1:218000001-218500000	1	218000001	218500000	0.927	0.952	0.975
1:218500001-219000000	1	218500001	219000000	0.954	1.116	1.042
1:219000001-219500000	1	219000001	219500000	0.939	0.877	0.883
1:219500001-220000000	1	219500001	220000000	0.948	0.958	1.026
1:220000001-220500000	1	220000001	220500000	1.105	0.916	0.929
1:220500001-221000000	1	220500001	221000000	1.031	0.991	1.051
1:221000001-221500000	1	221000001	221500000	1.014	1.108	1.125
1:221500001-222000000	1	221500001	222000000	0.977	1.099	1.074
1:222000001-222500000	1	222000001	222500000	1.264	1.002	1.126
1:222500001-223000000	1	222500001	223000000	1.03	1.015	1.035
1:223000001-223500000	1	223000001	223500000	1.173	1.014	1.008
1:224000001-224500000	1	224000001	224500000	0.952	0.922	0.996
1:224500001-225000000	1	224500001	225000000	0.934	1.002	1.069
1:225000001-225500000	1	225000001	225500000	1.101	1.147	1.005
1:225500001-226000000	1	225500001	226000000	0.985	0.954	1.129
1:226000001-226500000	1	226000001	226500000	0.915	1.048	1.012
1:227000001-227500000	1	227000001	227500000	0.797	1.079	1.003
1:228000001-228500000	1	228000001	228500000	1.074	0.939	0.905
1:228500001-229000000	1	228500001	229000000	1.057	0.966	1.075
1:229500001-230000000	1	229500001	230000000	1.095	1.005	0.965
1:230000001-230500000	1	230000001	230500000	0.965	0.893	0.961
1:230500001-231000000	1	230500001	231000000	1.072	0.98	1.042
1:231000001-231500000	1	231000001	231500000	1.084	0.958	0.994
1:231500001-232000000	1	231500001	232000000	1.031	1.134	1.055
1:232000001-232500000	1	232000001	232500000	1.125	1.027	1.209
1:232500001-233000000	1	232500001	233000000	1.031	1.082	1.057
1:233500001-234000000	1	233500001	234000000	1.008	0.995	0.941
1:234000001-234500000	1	234000001	234500000	0.961	1.055	1.003
1:234500001-235000000	1	234500001	235000000	1.044	1.014	0.918
1:235000001-235500000	1	235000001	235500000	0.931	0.937	0.885
1:236000001-236500000	1	236000001	236500000	1.075	1.099	1.149
1:236500001-237000000	1	236500001	237000000	0.977	0.902	0.978
1:237000001-237500000	1	237000001	237500000	0.994	0.95	0.944
1:238000001-238500000	1	238000001	238500000	1.082	0.938	0.988
1:238500001-239000000	1	238500001	239000000	0.981	1.106	1.016
1:239000001-239500000	1	239000001	239500000	1.015	1.05	1.007
1:239500001-240000000	1	239500001	240000000	0.916	0.961	1.037
1:240000001-240500000	1	240000001	240500000	0.91	0.994	0.997
1:240500001-241000000	1	240500001	241000000	0.925	0.969	0.833
1:241000001-241500000	1	241000001	241500000	1.023	0.96	0.897
1:241500001-242000000	1	241500001	242000000	1.091	0.953	0.957
1:242000001-242500000	1	242000001	242500000	1.077	0.965	0.884
1:243500001-244000000	1	243500001	244000000	1.052	1.026	1.104
1:244000001-244500000	1	244000001	244500000	0.945	0.959	0.988
1:244500001-245000000	1	244500001	245000000	0.996	1.006	0.958
1:245000001-245500000	1	245000001	245500000	1.18	1.049	1.051
1:245500001-246000000	1	245500001	246000000	1.057	1.043	1.009
1:246000001-246500000	1	246000001	246500000	1.056	1.056	0.938
1:246500001-247000000	1	246500001	247000000	1.021	0.893	0.824
1:247000001-247500000	1	247000001	247500000	1.069	0.972	0.935
