feature	chromosome	start	end	SLX-17921.D702tp_D503tp.H5J55BBXY.s_8.r_1	SLX-17921.D703tp_D506tp.H5J55BBXY.s_8.r_1
8:15500001-16000000	8	15500001	16000000	0.938	0.958
8:16500001-17000000	8	16500001	17000000	1.019	1.02
8:17000001-17500000	8	17000001	17500000	0.972	0.959
8:17500001-18000000	8	17500001	18000000	0.959	0.896
8:18000001-18500000	8	18000001	18500000	0.886	0.903
8:19000001-19500000	8	19000001	19500000	0.981	0.981
8:19500001-20000000	8	19500001	20000000	1.041	0.914
8:20000001-20500000	8	20000001	20500000	1.008	1.022
8:21000001-21500000	8	21000001	21500000	0.991	1.019
8:21500001-22000000	8	21500001	22000000	1.115	1.042
8:22000001-22500000	8	22000001	22500000	0.928	1.003
8:22500001-23000000	8	22500001	23000000	1.026	0.933
8:23000001-23500000	8	23000001	23500000	0.969	1.002
8:23500001-24000000	8	23500001	24000000	1.02	0.987
8:24000001-24500000	8	24000001	24500000	0.893	1.067
8:24500001-25000000	8	24500001	25000000	0.939	0.997
8:25000001-25500000	8	25000001	25500000	0.791	0.89
8:25500001-26000000	8	25500001	26000000	1.104	0.965
8:26000001-26500000	8	26000001	26500000	0.893	0.982
8:26500001-27000000	8	26500001	27000000	0.992	0.89
8:27000001-27500000	8	27000001	27500000	0.948	0.986
8:27500001-28000000	8	27500001	28000000	0.991	0.984
8:28000001-28500000	8	28000001	28500000	1.009	0.985
8:28500001-29000000	8	28500001	29000000	1.025	0.95
8:29000001-29500000	8	29000001	29500000	1.012	1.028
8:29500001-30000000	8	29500001	30000000	1.075	0.996
8:30000001-30500000	8	30000001	30500000	0.92	0.937
8:30500001-31000000	8	30500001	31000000	0.944	0.916
8:31000001-31500000	8	31000001	31500000	0.97	0.954
8:31500001-32000000	8	31500001	32000000	0.865	1.01
8:32000001-32500000	8	32000001	32500000	0.957	1.026
8:33500001-34000000	8	33500001	34000000	1.102	0.975
8:34000001-34500000	8	34000001	34500000	0.992	0.962
8:34500001-35000000	8	34500001	35000000	0.985	0.94
8:35000001-35500000	8	35000001	35500000	1.065	0.975
8:35500001-36000000	8	35500001	36000000	1.008	1.04
8:36500001-37000000	8	36500001	37000000	0.946	0.976
8:37000001-37500000	8	37000001	37500000	0.958	1.029
8:37500001-38000000	8	37500001	38000000	1.048	1.031
8:38000001-38500000	8	38000001	38500000	0.937	0.955
8:38500001-39000000	8	38500001	39000000	0.998	0.955
8:39000001-39500000	8	39000001	39500000	0.996	0.927
8:39500001-40000000	8	39500001	40000000	0.95	1.039
8:40500001-41000000	8	40500001	41000000	1.004	1.052
8:41000001-41500000	8	41000001	41500000	1.05	0.964
8:41500001-42000000	8	41500001	42000000	0.951	1.024
8:42000001-42500000	8	42000001	42500000	0.935	0.918
8:42500001-43000000	8	42500001	43000000	1.011	1.018
8:47000001-47500000	8	47000001	47500000	1.097	1.1
8:47500001-48000000	8	47500001	48000000	0.896	0.946
8:48000001-48500000	8	48000001	48500000	1.13	1.064
8:48500001-49000000	8	48500001	49000000	1.115	1.123
8:49000001-49500000	8	49000001	49500000	1.079	0.995
8:49500001-50000000	8	49500001	50000000	1.029	0.973
8:50000001-50500000	8	50000001	50500000	1.087	0.958
8:51000001-51500000	8	51000001	51500000	1.001	1.018
8:51500001-52000000	8	51500001	52000000	1.06	0.973
8:52000001-52500000	8	52000001	52500000	1.053	1.01
8:52500001-53000000	8	52500001	53000000	0.945	0.977
8:53000001-53500000	8	53000001	53500000	1.098	1.01
8:53500001-54000000	8	53500001	54000000	1.13	1.026
8:54000001-54500000	8	54000001	54500000	1.006	0.989
8:54500001-55000000	8	54500001	55000000	1.101	1.031
8:55000001-55500000	8	55000001	55500000	0.974	1.062
8:55500001-56000000	8	55500001	56000000	1.146	0.888
8:56000001-56500000	8	56000001	56500000	0.951	1.11
8:57000001-57500000	8	57000001	57500000	0.95	1.031
8:57500001-58000000	8	57500001	58000000	0.926	1.042
8:58000001-58500000	8	58000001	58500000	1.029	0.99
8:58500001-59000000	8	58500001	59000000	1.095	0.989
8:59000001-59500000	8	59000001	59500000	1.228	1.032
8:59500001-60000000	8	59500001	60000000	1.043	1.026
8:60000001-60500000	8	60000001	60500000	1.057	1.06
8:60500001-61000000	8	60500001	61000000	0.98	0.983
8:61500001-62000000	8	61500001	62000000	1.001	1.045
8:62000001-62500000	8	62000001	62500000	0.982	1.024
8:62500001-63000000	8	62500001	63000000	1.015	1.024
8:63000001-63500000	8	63000001	63500000	0.98	1.005
8:63500001-64000000	8	63500001	64000000	1.027	1.086
8:64000001-64500000	8	64000001	64500000	1.052	1.058
8:64500001-65000000	8	64500001	65000000	0.985	0.995
8:65000001-65500000	8	65000001	65500000	1.064	1.053
8:65500001-66000000	8	65500001	66000000	0.985	0.948
8:66000001-66500000	8	66000001	66500000	1.077	0.995
8:66500001-67000000	8	66500001	67000000	0.937	0.982
8:67000001-67500000	8	67000001	67500000	1.091	0.991
8:68000001-68500000	8	68000001	68500000	1.067	1.06
8:68500001-69000000	8	68500001	69000000	1.025	0.98
8:69500001-70000000	8	69500001	70000000	1.112	1.093
8:70000001-70500000	8	70000001	70500000	0.958	0.981
8:70500001-71000000	8	70500001	71000000	1.002	0.979
8:71000001-71500000	8	71000001	71500000	1.084	1.061
8:71500001-72000000	8	71500001	72000000	1.08	1.045
8:72000001-72500000	8	72000001	72500000	1.11	0.975
8:73000001-73500000	8	73000001	73500000	1.008	0.999
8:73500001-74000000	8	73500001	74000000	0.929	0.92
8:74000001-74500000	8	74000001	74500000	1.001	1.067
8:75000001-75500000	8	75000001	75500000	0.945	1.051
8:75500001-76000000	8	75500001	76000000	0.999	1.042
8:77000001-77500000	8	77000001	77500000	1.078	1.045
8:77500001-78000000	8	77500001	78000000	1.03	1.087
8:78000001-78500000	8	78000001	78500000	1.025	1.044
8:78500001-79000000	8	78500001	79000000	1.062	1.035
8:79000001-79500000	8	79000001	79500000	0.989	1.021
8:79500001-80000000	8	79500001	80000000	1.173	0.994
8:80000001-80500000	8	80000001	80500000	0.955	1.001
8:80500001-81000000	8	80500001	81000000	1.116	1.006
8:81000001-81500000	8	81000001	81500000	1.116	0.967
8:81500001-82000000	8	81500001	82000000	1.029	1.046
8:82000001-82500000	8	82000001	82500000	1.036	1.004
8:82500001-83000000	8	82500001	83000000	1.054	0.984
8:83000001-83500000	8	83000001	83500000	1.078	0.989
8:83500001-84000000	8	83500001	84000000	0.924	0.989
8:84000001-84500000	8	84000001	84500000	1.078	1.076
8:84500001-85000000	8	84500001	85000000	1.057	1.036
8:85000001-85500000	8	85000001	85500000	0.948	1.018
8:86000001-86500000	8	86000001	86500000	0.952	0.93
8:86500001-87000000	8	86500001	87000000	1.051	1.008
8:87000001-87500000	8	87000001	87500000	1.06	1.065
8:87500001-88000000	8	87500001	88000000	1.023	1.09
8:88000001-88500000	8	88000001	88500000	1.041	1.049
8:88500001-89000000	8	88500001	89000000	1.026	0.947
8:89000001-89500000	8	89000001	89500000	1.012	0.945
8:89500001-90000000	8	89500001	90000000	1.004	0.977
8:90000001-90500000	8	90000001	90500000	1.098	1.047
8:90500001-91000000	8	90500001	91000000	1.083	1.05
8:91000001-91500000	8	91000001	91500000	1.005	1.08
8:91500001-92000000	8	91500001	92000000	0.987	1.09
8:92000001-92500000	8	92000001	92500000	0.946	1.04
8:92500001-93000000	8	92500001	93000000	1.039	0.964
8:93000001-93500000	8	93000001	93500000	1.073	1.028
8:93500001-94000000	8	93500001	94000000	1.081	1.095
8:94000001-94500000	8	94000001	94500000	1.011	1.007
8:94500001-95000000	8	94500001	95000000	0.918	0.977
8:95000001-95500000	8	95000001	95500000	1.009	1.016
8:95500001-96000000	8	95500001	96000000	1.02	1.069
8:96000001-96500000	8	96000001	96500000	0.959	0.99
8:96500001-97000000	8	96500001	97000000	0.952	0.995
8:97000001-97500000	8	97000001	97500000	1.013	1.086
8:98000001-98500000	8	98000001	98500000	0.856	0.979
8:98500001-99000000	8	98500001	99000000	1.071	1.103
8:99500001-100000000	8	99500001	100000000	1.061	1.047
8:100000001-100500000	8	100000001	100500000	1.041	1.077
8:100500001-101000000	8	100500001	101000000	0.916	0.927
8:101000001-101500000	8	101000001	101500000	1.039	0.961
8:101500001-102000000	8	101500001	102000000	1.052	1.105
8:102000001-102500000	8	102000001	102500000	1.041	0.976
8:103500001-104000000	8	103500001	104000000	1.019	1.008
8:104000001-104500000	8	104000001	104500000	1.107	0.997
8:104500001-105000000	8	104500001	105000000	1.023	1.11
8:105000001-105500000	8	105000001	105500000	1.038	1.016
8:105500001-106000000	8	105500001	106000000	1.115	1.092
8:106000001-106500000	8	106000001	106500000	0.992	1.059
8:106500001-107000000	8	106500001	107000000	1.083	1.038
8:107000001-107500000	8	107000001	107500000	1.03	1.059
8:107500001-108000000	8	107500001	108000000	1.053	1.024
8:108000001-108500000	8	108000001	108500000	0.986	1.133
8:109000001-109500000	8	109000001	109500000	1.08	1.022
8:109500001-110000000	8	109500001	110000000	1.078	1.048
8:110000001-110500000	8	110000001	110500000	1.036	1.003
8:111500001-112000000	8	111500001	112000000	0.964	0.984
8:112000001-112500000	8	112000001	112500000	1.083	1.04
8:112500001-113000000	8	112500001	113000000	1.081	1.065
8:113000001-113500000	8	113000001	113500000	1.133	1.029
8:113500001-114000000	8	113500001	114000000	0.992	1.012
8:114000001-114500000	8	114000001	114500000	1.054	1.035
8:114500001-115000000	8	114500001	115000000	1.023	1.025
8:115000001-115500000	8	115000001	115500000	1.015	0.965
8:115500001-116000000	8	115500001	116000000	1.014	1.069
8:116000001-116500000	8	116000001	116500000	0.98	1.065
8:116500001-117000000	8	116500001	117000000	0.984	0.957
8:117000001-117500000	8	117000001	117500000	1.1	1.1
8:117500001-118000000	8	117500001	118000000	0.893	1.075
8:118000001-118500000	8	118000001	118500000	1.106	1.034
8:118500001-119000000	8	118500001	119000000	1.067	1.061
8:119000001-119500000	8	119000001	119500000	1.048	1.041
8:119500001-120000000	8	119500001	120000000	0.903	1.012
8:120500001-121000000	8	120500001	121000000	0.991	1.029
8:121000001-121500000	8	121000001	121500000	1.183	1.141
8:121500001-122000000	8	121500001	122000000	1.094	1.041
8:122000001-122500000	8	122000001	122500000	1.078	1.003
8:122500001-123000000	8	122500001	123000000	0.998	0.97
8:123000001-123500000	8	123000001	123500000	0.883	1.007
8:123500001-124000000	8	123500001	124000000	1.067	1.052
8:124000001-124500000	8	124000001	124500000	1.013	0.942
8:124500001-125000000	8	124500001	125000000	0.94	0.95
8:125000001-125500000	8	125000001	125500000	0.936	0.904
8:125500001-126000000	8	125500001	126000000	1.007	1.052
8:126000001-126500000	8	126000001	126500000	0.956	1.076
8:126500001-127000000	8	126500001	127000000	1.113	0.997
8:128000001-128500000	8	128000001	128500000	1.005	1.011
8:128500001-129000000	8	128500001	129000000	1.155	1.085
8:129000001-129500000	8	129000001	129500000	1.101	1.02
8:129500001-130000000	8	129500001	130000000	0.961	0.993
8:130000001-130500000	8	130000001	130500000	0.879	0.994
8:130500001-131000000	8	130500001	131000000	1.02	0.951
8:131000001-131500000	8	131000001	131500000	1.1	1.099
8:131500001-132000000	8	131500001	132000000	1.08	1.062
8:132000001-132500000	8	132000001	132500000	1.074	1
8:132500001-133000000	8	132500001	133000000	1.037	0.93
8:133000001-133500000	8	133000001	133500000	0.934	0.943
8:134000001-134500000	8	134000001	134500000	0.996	1.05
8:134500001-135000000	8	134500001	135000000	0.995	1.013
8:135000001-135500000	8	135000001	135500000	0.924	1.027
8:135500001-136000000	8	135500001	136000000	1.014	0.967
8:136000001-136500000	8	136000001	136500000	0.944	1.01
8:136500001-137000000	8	136500001	137000000	0.956	0.956
8:137000001-137500000	8	137000001	137500000	0.956	1.023
8:137500001-138000000	8	137500001	138000000	0.931	1.074
8:138000001-138500000	8	138000001	138500000	1.047	0.972
8:138500001-139000000	8	138500001	139000000	1.114	1.016
8:139000001-139500000	8	139000001	139500000	1.053	1.068
8:139500001-140000000	8	139500001	140000000	0.98	1.064
8:140000001-140500000	8	140000001	140500000	1.048	1.073
8:140500001-141000000	8	140500001	141000000	0.906	0.946
8:141000001-141500000	8	141000001	141500000	0.985	0.977
8:141500001-142000000	8	141500001	142000000	1.03	1.036
8:142000001-142500000	8	142000001	142500000	0.999	0.993
8:142500001-143000000	8	142500001	143000000	1.066	1.072
8:143000001-143500000	8	143000001	143500000	1.03	0.976
8:143500001-144000000	8	143500001	144000000	0.869	1.009
8:144000001-144500000	8	144000001	144500000	0.85	0.917
8:144500001-145000000	8	144500001	145000000	0.996	1.026
9:500001-1000000	9	500001	1000000	1.09	1.058
9:1000001-1500000	9	1000001	1500000	1.153	0.992
9:1500001-2000000	9	1500001	2000000	1.126	1.036
9:2000001-2500000	9	2000001	2500000	0.966	0.949
9:2500001-3000000	9	2500001	3000000	0.997	1.041
9:3000001-3500000	9	3000001	3500000	0.985	1.016
9:3500001-4000000	9	3500001	4000000	0.968	1.031
9:4000001-4500000	9	4000001	4500000	1.13	1.044
9:4500001-5000000	9	4500001	5000000	0.923	0.927
9:5500001-6000000	9	5500001	6000000	1.077	0.97
9:6000001-6500000	9	6000001	6500000	0.955	1.141
9:6500001-7000000	9	6500001	7000000	0.939	1.021
9:7000001-7500000	9	7000001	7500000	1.139	1.182
9:7500001-8000000	9	7500001	8000000	1.045	1.167
9:8000001-8500000	9	8000001	8500000	1.096	1.003
9:8500001-9000000	9	8500001	9000000	0.977	1.058
9:9000001-9500000	9	9000001	9500000	0.877	1.007
9:10000001-10500000	9	10000001	10500000	0.995	0.961
9:10500001-11000000	9	10500001	11000000	0.92	0.936
9:11000001-11500000	9	11000001	11500000	0.954	0.905
9:11500001-12000000	9	11500001	12000000	0.901	0.966
9:12000001-12500000	9	12000001	12500000	0.955	0.981
9:12500001-13000000	9	12500001	13000000	0.926	0.974
9:13000001-13500000	9	13000001	13500000	1.113	1.069
9:13500001-14000000	9	13500001	14000000	1.055	1.02
9:14000001-14500000	9	14000001	14500000	1.11	0.9
9:14500001-15000000	9	14500001	15000000	1.032	1.088
9:15000001-15500000	9	15000001	15500000	1.018	0.927
9:16000001-16500000	9	16000001	16500000	1	0.964
9:16500001-17000000	9	16500001	17000000	1.017	1.006
9:17000001-17500000	9	17000001	17500000	1.05	1.002
9:17500001-18000000	9	17500001	18000000	0.901	1.055
9:18500001-19000000	9	18500001	19000000	1.107	1.119
9:19000001-19500000	9	19000001	19500000	0.977	0.925
9:19500001-20000000	9	19500001	20000000	1.084	1.054
9:20000001-20500000	9	20000001	20500000	0.973	1.065
9:20500001-21000000	9	20500001	21000000	1.063	1.022
9:21000001-21500000	9	21000001	21500000	0.992	0.945
9:21500001-22000000	9	21500001	22000000	1.062	0.962
9:22000001-22500000	9	22000001	22500000	0.971	1.045
9:22500001-23000000	9	22500001	23000000	0.995	1.027
9:23000001-23500000	9	23000001	23500000	0.853	0.895
9:23500001-24000000	9	23500001	24000000	0.923	0.953
9:24000001-24500000	9	24000001	24500000	0.89	0.998
9:24500001-25000000	9	24500001	25000000	1.127	1.054
9:25000001-25500000	9	25000001	25500000	0.989	1.017
9:25500001-26000000	9	25500001	26000000	0.922	0.983
9:26000001-26500000	9	26000001	26500000	1.142	0.949
9:26500001-27000000	9	26500001	27000000	1.008	0.977
9:27000001-27500000	9	27000001	27500000	1.072	0.981
9:27500001-28000000	9	27500001	28000000	1.029	0.982
9:28000001-28500000	9	28000001	28500000	0.979	1.007
9:28500001-29000000	9	28500001	29000000	0.994	1.111
9:29000001-29500000	9	29000001	29500000	0.979	1.065
9:29500001-30000000	9	29500001	30000000	0.886	0.986
9:30000001-30500000	9	30000001	30500000	1.143	0.997
9:30500001-31000000	9	30500001	31000000	1.001	0.979
9:31500001-32000000	9	31500001	32000000	1.064	1.007
9:32000001-32500000	9	32000001	32500000	1.122	1.062
9:32500001-33000000	9	32500001	33000000	1.099	1.066
9:33000001-33500000	9	33000001	33500000	1.009	0.978
9:34000001-34500000	9	34000001	34500000	1.018	0.995
9:35000001-35500000	9	35000001	35500000	0.991	1.054
9:35500001-36000000	9	35500001	36000000	0.949	0.943
9:36500001-37000000	9	36500001	37000000	1.038	1.069
9:37000001-37500000	9	37000001	37500000	0.924	0.956
9:37500001-38000000	9	37500001	38000000	0.992	0.964
9:38000001-38500000	9	38000001	38500000	1.035	1.032
9:68500001-69000000	9	68500001	69000000	0.964	1.072
9:69000001-69500000	9	69000001	69500000	0.967	1.048
9:69500001-70000000	9	69500001	70000000	0.955	0.989
9:70000001-70500000	9	70000001	70500000	1.021	1
9:70500001-71000000	9	70500001	71000000	0.989	1.006
9:71000001-71500000	9	71000001	71500000	1.017	1.044
9:71500001-72000000	9	71500001	72000000	1.022	0.917
9:72000001-72500000	9	72000001	72500000	1.013	1.034
9:73000001-73500000	9	73000001	73500000	0.994	1.027
9:73500001-74000000	9	73500001	74000000	1.039	1.026
9:74000001-74500000	9	74000001	74500000	0.949	1.022
9:74500001-75000000	9	74500001	75000000	0.952	1.017
9:75000001-75500000	9	75000001	75500000	1.106	0.958
9:75500001-76000000	9	75500001	76000000	1.113	1.027
9:76000001-76500000	9	76000001	76500000	1.092	1.048
9:76500001-77000000	9	76500001	77000000	0.981	1.039
9:77000001-77500000	9	77000001	77500000	1.01	1.057
9:77500001-78000000	9	77500001	78000000	1.033	0.913
9:78000001-78500000	9	78000001	78500000	1.018	1.048
9:79000001-79500000	9	79000001	79500000	1.018	1.102
9:80000001-80500000	9	80000001	80500000	1.013	0.958
9:81000001-81500000	9	81000001	81500000	0.994	0.974
9:82500001-83000000	9	82500001	83000000	1.094	0.985
9:83000001-83500000	9	83000001	83500000	1.038	1.011
9:83500001-84000000	9	83500001	84000000	0.913	0.844
9:84000001-84500000	9	84000001	84500000	1.117	1.035
9:84500001-85000000	9	84500001	85000000	1.026	1.01
9:85000001-85500000	9	85000001	85500000	1.005	1.046
9:85500001-86000000	9	85500001	86000000	0.969	0.946
9:86000001-86500000	9	86000001	86500000	1.057	1.022
9:86500001-87000000	9	86500001	87000000	1.059	1.037
9:87000001-87500000	9	87000001	87500000	0.959	1.046
9:87500001-88000000	9	87500001	88000000	1.087	1.044
9:88000001-88500000	9	88000001	88500000	1.107	1.061
9:88500001-89000000	9	88500001	89000000	1.091	0.94
9:89000001-89500000	9	89000001	89500000	0.917	0.995
9:89500001-90000000	9	89500001	90000000	0.932	1.019
9:90000001-90500000	9	90000001	90500000	1.196	1.092
9:90500001-91000000	9	90500001	91000000	1.031	0.975
9:91000001-91500000	9	91000001	91500000	1.052	1.003
9:91500001-92000000	9	91500001	92000000	1.05	1.029
9:93000001-93500000	9	93000001	93500000	0.993	0.993
9:93500001-94000000	9	93500001	94000000	0.886	0.958
9:94500001-95000000	9	94500001	95000000	0.97	1.074
9:95000001-95500000	9	95000001	95500000	0.924	1.051
9:96000001-96500000	9	96000001	96500000	0.955	0.981
9:97500001-98000000	9	97500001	98000000	0.948	0.966
9:98000001-98500000	9	98000001	98500000	1.032	1.066
9:98500001-99000000	9	98500001	99000000	1.079	1.056
9:99000001-99500000	9	99000001	99500000	1.043	1.015
9:99500001-100000000	9	99500001	100000000	0.925	0.948
9:100000001-100500000	9	100000001	100500000	0.926	0.958
9:100500001-101000000	9	100500001	101000000	1.026	1.05
9:101000001-101500000	9	101000001	101500000	1.101	0.952
9:101500001-102000000	9	101500001	102000000	1.076	0.974
9:102000001-102500000	9	102000001	102500000	1.009	0.997
9:102500001-103000000	9	102500001	103000000	0.931	0.929
9:103000001-103500000	9	103000001	103500000	0.957	1.025
9:103500001-104000000	9	103500001	104000000	0.926	1.024
9:104000001-104500000	9	104000001	104500000	0.887	1.035
9:104500001-105000000	9	104500001	105000000	1.085	1.082
9:105000001-105500000	9	105000001	105500000	0.872	0.985
9:105500001-106000000	9	105500001	106000000	1.022	1.081
9:106000001-106500000	9	106000001	106500000	1.087	1.084
9:106500001-107000000	9	106500001	107000000	1.013	1.071
9:107000001-107500000	9	107000001	107500000	1.158	1.063
9:107500001-108000000	9	107500001	108000000	1.064	1.08
9:108000001-108500000	9	108000001	108500000	1.021	1.054
9:108500001-109000000	9	108500001	109000000	1.104	1.029
9:109000001-109500000	9	109000001	109500000	1.047	0.987
9:109500001-110000000	9	109500001	110000000	1.129	1.079
9:110000001-110500000	9	110000001	110500000	0.987	0.998
9:110500001-111000000	9	110500001	111000000	1.051	1.006
9:111000001-111500000	9	111000001	111500000	1.161	0.982
9:111500001-112000000	9	111500001	112000000	1.068	0.921
9:112000001-112500000	9	112000001	112500000	0.84	0.854
9:112500001-113000000	9	112500001	113000000	0.967	0.938
9:113000001-113500000	9	113000001	113500000	1.013	1.034
9:113500001-114000000	9	113500001	114000000	0.927	0.93
9:114000001-114500000	9	114000001	114500000	1.064	0.987
9:114500001-115000000	9	114500001	115000000	0.932	1.039
9:115000001-115500000	9	115000001	115500000	0.953	1.016
9:115500001-116000000	9	115500001	116000000	1.084	1.077
9:116000001-116500000	9	116000001	116500000	0.953	1.033
9:116500001-117000000	9	116500001	117000000	1.02	1.043
9:117500001-118000000	9	117500001	118000000	1.077	0.966
9:118000001-118500000	9	118000001	118500000	0.961	1.032
9:118500001-119000000	9	118500001	119000000	0.935	0.985
9:119000001-119500000	9	119000001	119500000	1.024	1.022
9:119500001-120000000	9	119500001	120000000	0.953	0.957
9:120000001-120500000	9	120000001	120500000	1.068	1.065
9:120500001-121000000	9	120500001	121000000	1.051	0.922
9:121000001-121500000	9	121000001	121500000	0.952	0.906
9:121500001-122000000	9	121500001	122000000	1.052	1.04
9:122000001-122500000	9	122000001	122500000	1.013	0.922
9:123000001-123500000	9	123000001	123500000	1.021	0.918
9:123500001-124000000	9	123500001	124000000	1.041	1.062
9:124000001-124500000	9	124000001	124500000	1.003	1.009
9:124500001-125000000	9	124500001	125000000	1.02	0.971
9:125000001-125500000	9	125000001	125500000	1.042	1.076
9:125500001-126000000	9	125500001	126000000	1.066	0.983
9:126000001-126500000	9	126000001	126500000	1.142	0.975
9:126500001-127000000	9	126500001	127000000	1.072	1.097
9:127000001-127500000	9	127000001	127500000	0.914	1.038
9:127500001-128000000	9	127500001	128000000	1.126	1.051
9:128000001-128500000	9	128000001	128500000	0.94	0.937
9:128500001-129000000	9	128500001	129000000	1.033	1.043
9:129000001-129500000	9	129000001	129500000	0.991	0.947
9:130000001-130500000	9	130000001	130500000	0.988	1.033
9:130500001-131000000	9	130500001	131000000	1.106	1.083
9:131000001-131500000	9	131000001	131500000	0.959	0.966
9:131500001-132000000	9	131500001	132000000	0.966	1.02
9:132000001-132500000	9	132000001	132500000	1.067	0.983
9:132500001-133000000	9	132500001	133000000	0.951	0.987
9:133000001-133500000	9	133000001	133500000	0.969	0.969
9:133500001-134000000	9	133500001	134000000	1.123	0.996
9:134500001-135000000	9	134500001	135000000	1.08	1.074
9:135000001-135500000	9	135000001	135500000	1.034	1.04
9:135500001-136000000	9	135500001	136000000	0.962	1.084
9:136000001-136500000	9	136000001	136500000	0.954	0.948
9:136500001-137000000	9	136500001	137000000	1.053	0.991
9:137000001-137500000	9	137000001	137500000	0.943	1.017
9:137500001-138000000	9	137500001	138000000	1.039	1.04
10:1-500000	10	1	500000	1.145	1.108
10:500001-1000000	10	500001	1000000	0.978	0.951
10:1000001-1500000	10	1000001	1500000	1.019	1.048
10:1500001-2000000	10	1500001	2000000	0.944	1
10:2500001-3000000	10	2500001	3000000	1.024	1.002
10:3000001-3500000	10	3000001	3500000	0.904	0.919
10:3500001-4000000	10	3500001	4000000	0.984	0.889
10:4000001-4500000	10	4000001	4500000	1.002	1.047
10:4500001-5000000	10	4500001	5000000	0.938	1.013
10:5000001-5500000	10	5000001	5500000	0.949	0.986
10:5500001-6000000	10	5500001	6000000	0.947	0.908
10:6000001-6500000	10	6000001	6500000	0.872	0.909
10:6500001-7000000	10	6500001	7000000	1.061	0.982
10:7000001-7500000	10	7000001	7500000	1.001	1.028
10:7500001-8000000	10	7500001	8000000	0.943	1.01
10:8000001-8500000	10	8000001	8500000	0.956	0.985
10:8500001-9000000	10	8500001	9000000	0.997	1.003
10:9000001-9500000	10	9000001	9500000	1.045	0.982
10:9500001-10000000	10	9500001	10000000	1.096	1.066
10:10000001-10500000	10	10000001	10500000	1.076	1.034
10:10500001-11000000	10	10500001	11000000	1.097	1.056
10:11000001-11500000	10	11000001	11500000	0.969	0.983
10:11500001-12000000	10	11500001	12000000	0.932	1.01
10:12000001-12500000	10	12000001	12500000	1.009	0.931
10:12500001-13000000	10	12500001	13000000	1.085	1.077
10:13000001-13500000	10	13000001	13500000	1.071	1.036
10:13500001-14000000	10	13500001	14000000	0.99	0.986
10:14000001-14500000	10	14000001	14500000	1.066	0.979
10:14500001-15000000	10	14500001	15000000	1.004	0.934
10:15000001-15500000	10	15000001	15500000	1.185	1.052
10:15500001-16000000	10	15500001	16000000	1.027	1.05
10:16000001-16500000	10	16000001	16500000	0.961	0.998
10:16500001-17000000	10	16500001	17000000	0.952	0.971
10:17000001-17500000	10	17000001	17500000	0.938	0.974
10:17500001-18000000	10	17500001	18000000	1.089	1.014
10:18000001-18500000	10	18000001	18500000	1.059	1.067
10:18500001-19000000	10	18500001	19000000	0.962	0.943
10:19000001-19500000	10	19000001	19500000	1.058	1.031
10:20000001-20500000	10	20000001	20500000	0.986	1.025
10:20500001-21000000	10	20500001	21000000	0.96	1.02
10:21000001-21500000	10	21000001	21500000	1.012	1.03
10:21500001-22000000	10	21500001	22000000	0.916	0.955
10:22000001-22500000	10	22000001	22500000	0.996	0.969
10:22500001-23000000	10	22500001	23000000	0.97	1.002
10:23000001-23500000	10	23000001	23500000	0.993	1.024
10:23500001-24000000	10	23500001	24000000	1.085	1.106
10:24000001-24500000	10	24000001	24500000	1.002	1.038
10:24500001-25000000	10	24500001	25000000	1.056	1.01
10:25000001-25500000	10	25000001	25500000	0.992	1.027
10:26000001-26500000	10	26000001	26500000	1.07	1.055
10:27000001-27500000	10	27000001	27500000	0.987	0.954
10:27500001-28000000	10	27500001	28000000	1.006	1.025
10:28000001-28500000	10	28000001	28500000	0.912	0.939
10:28500001-29000000	10	28500001	29000000	1.014	0.943
10:29000001-29500000	10	29000001	29500000	0.926	1.046
10:29500001-30000000	10	29500001	30000000	0.872	0.98
10:30000001-30500000	10	30000001	30500000	0.858	0.932
10:31000001-31500000	10	31000001	31500000	1.08	1.005
10:31500001-32000000	10	31500001	32000000	0.961	1.003
10:32000001-32500000	10	32000001	32500000	1.058	1.033
10:32500001-33000000	10	32500001	33000000	1.018	1.009
10:33000001-33500000	10	33000001	33500000	1.044	1.018
10:33500001-34000000	10	33500001	34000000	1.114	1.031
10:34000001-34500000	10	34000001	34500000	0.89	0.991
10:34500001-35000000	10	34500001	35000000	1.018	0.961
10:35000001-35500000	10	35000001	35500000	0.989	1.024
10:35500001-36000000	10	35500001	36000000	0.948	0.938
10:36500001-37000000	10	36500001	37000000	1.02	1.058
10:43000001-43500000	10	43000001	43500000	0.957	0.9
10:43500001-44000000	10	43500001	44000000	1.076	0.99
10:44000001-44500000	10	44000001	44500000	1.05	1.177
10:44500001-45000000	10	44500001	45000000	0.893	0.952
10:45000001-45500000	10	45000001	45500000	0.878	0.95
10:47000001-47500000	10	47000001	47500000	1.079	1.087
10:48500001-49000000	10	48500001	49000000	1.033	0.989
10:49000001-49500000	10	49000001	49500000	1.118	0.971
10:50500001-51000000	10	50500001	51000000	0.921	1.023
10:51000001-51500000	10	51000001	51500000	1.045	0.964
10:51500001-52000000	10	51500001	52000000	0.87	1.02
10:52000001-52500000	10	52000001	52500000	1.011	1.006
10:52500001-53000000	10	52500001	53000000	1.067	0.948
10:53000001-53500000	10	53000001	53500000	1.089	0.985
10:53500001-54000000	10	53500001	54000000	0.971	0.99
