feature	chromosome	start	end	SLX-16150.D712tp_D506tp.HC22VBBXY.s_3.r_1	SLX-17921.D707tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17922.D708tp_D503tp.HC22GBBXY.s_6.r_1
1:199500001-200000000	1	199500001	200000000	1.199	1.096	1.123
1:200000001-200500000	1	200000001	200500000	1.052	1.09	1.028
1:200500001-201000000	1	200500001	201000000	1.17	0.918	1.106
1:201000001-201500000	1	201000001	201500000	1.168	1.119	1.112
1:201500001-202000000	1	201500001	202000000	1.121	1.112	1.154
1:202000001-202500000	1	202000001	202500000	1.276	1.219	1.154
1:202500001-203000000	1	202500001	203000000	1.163	1.134	1.175
1:203000001-203500000	1	203000001	203500000	1.146	1.389	1.067
1:203500001-204000000	1	203500001	204000000	1.147	1.145	1.065
1:204000001-204500000	1	204000001	204500000	1.127	1.307	1.09
1:204500001-205000000	1	204500001	205000000	1.086	1.059	1.099
1:205000001-205500000	1	205000001	205500000	1.294	1.142	1.162
1:205500001-206000000	1	205500001	206000000	1.208	1.217	1.249
1:206500001-207000000	1	206500001	207000000	1.091	1.218	1.053
1:207000001-207500000	1	207000001	207500000	1.123	1.153	1.111
1:207500001-208000000	1	207500001	208000000	1.104	1.03	1.025
1:208000001-208500000	1	208000001	208500000	1.077	1.096	0.992
1:208500001-209000000	1	208500001	209000000	1.226	1.124	1.281
1:209000001-209500000	1	209000001	209500000	1.221	1.065	1.129
1:209500001-210000000	1	209500001	210000000	1.2	1.106	1.205
1:210000001-210500000	1	210000001	210500000	1.119	1.225	1.089
1:210500001-211000000	1	210500001	211000000	1.232	1.281	1.211
1:211000001-211500000	1	211000001	211500000	1.153	1.288	1.046
1:211500001-212000000	1	211500001	212000000	1.135	1.083	1.062
1:212000001-212500000	1	212000001	212500000	1.051	1.147	1.003
1:212500001-213000000	1	212500001	213000000	1.081	1.113	1.05
1:213000001-213500000	1	213000001	213500000	1.137	1.275	1.125
1:213500001-214000000	1	213500001	214000000	1.115	1.192	1.276
1:214000001-214500000	1	214000001	214500000	1.109	1.165	1.153
1:216000001-216500000	1	216000001	216500000	1.319	1.303	1.18
1:216500001-217000000	1	216500001	217000000	1.073	1.092	1.174
1:217000001-217500000	1	217000001	217500000	1.104	1.098	1.124
1:217500001-218000000	1	217500001	218000000	1.148	1.251	1.086
1:218000001-218500000	1	218000001	218500000	1.207	1.216	1.091
1:218500001-219000000	1	218500001	219000000	1.135	1.196	1.091
1:219000001-219500000	1	219000001	219500000	1.143	1.159	1.097
1:219500001-220000000	1	219500001	220000000	1.172	1.27	1.116
1:220000001-220500000	1	220000001	220500000	1.182	1.04	1.041
1:220500001-221000000	1	220500001	221000000	1.139	1.16	1.091
1:221000001-221500000	1	221000001	221500000	1.257	1.232	1.17
1:221500001-222000000	1	221500001	222000000	1.253	1.055	1.086
1:222000001-222500000	1	222000001	222500000	1.201	1.181	1.207
1:222500001-223000000	1	222500001	223000000	1.035	1.149	1.143
1:223000001-223500000	1	223000001	223500000	1.204	1.357	1.211
1:224000001-224500000	1	224000001	224500000	1.196	1.047	1.041
1:224500001-225000000	1	224500001	225000000	1.165	1.214	1.121
1:225000001-225500000	1	225000001	225500000	1.184	1.189	1.182
1:225500001-226000000	1	225500001	226000000	1.131	1.206	1.117
1:226000001-226500000	1	226000001	226500000	1.097	0.98	1.058
1:227000001-227500000	1	227000001	227500000	1.076	0.968	1.067
1:228000001-228500000	1	228000001	228500000	1.118	1.077	1.011
1:228500001-229000000	1	228500001	229000000	1.276	1.166	1.328
1:229500001-230000000	1	229500001	230000000	1.13	1.038	1.113
1:230000001-230500000	1	230000001	230500000	1.052	1.065	1.111
1:230500001-231000000	1	230500001	231000000	1.042	1.109	1.147
1:231000001-231500000	1	231000001	231500000	1.17	1.108	1.032
1:231500001-232000000	1	231500001	232000000	1.14	1.169	1.076
1:232000001-232500000	1	232000001	232500000	1.163	1.247	1.095
1:232500001-233000000	1	232500001	233000000	1.131	1.055	1.102
1:233500001-234000000	1	233500001	234000000	1.152	1.025	1.092
1:234000001-234500000	1	234000001	234500000	1.102	1.143	0.976
1:234500001-235000000	1	234500001	235000000	1.199	1.089	1.008
1:235000001-235500000	1	235000001	235500000	1.05	1.051	0.954
1:236000001-236500000	1	236000001	236500000	1.168	1.169	1.077
1:236500001-237000000	1	236500001	237000000	1.14	1.118	1.125
1:237000001-237500000	1	237000001	237500000	1.186	1.225	1.088
1:238000001-238500000	1	238000001	238500000	1.135	1.07	1.077
1:238500001-239000000	1	238500001	239000000	1.168	1.042	1.201
1:239000001-239500000	1	239000001	239500000	1.145	1.073	1.171
1:239500001-240000000	1	239500001	240000000	1.131	1.183	1.1
1:240000001-240500000	1	240000001	240500000	1.046	1.207	1.091
1:240500001-241000000	1	240500001	241000000	1.1	1.219	0.98
1:241000001-241500000	1	241000001	241500000	1.154	1.039	1.085
1:241500001-242000000	1	241500001	242000000	1.084	1.198	1.076
