feature	chromosome	start	end	SLX-16150.D712tp_D505tp.HC22VBBXY.s_3.r_1	SLX-17922.D706tp_D502tp.HC22GBBXY.s_6.r_1
7:87500001-88000000	7	87500001	88000000	1.016	0.986
7:88000001-88500000	7	88000001	88500000	1.139	0.876
7:88500001-89000000	7	88500001	89000000	1.006	1.08
7:89000001-89500000	7	89000001	89500000	1.047	1.134
7:89500001-90000000	7	89500001	90000000	0.988	0.982
7:90000001-90500000	7	90000001	90500000	0.956	0.89
7:90500001-91000000	7	90500001	91000000	0.967	1.05
7:91000001-91500000	7	91000001	91500000	0.985	1.047
7:91500001-92000000	7	91500001	92000000	1.055	0.976
7:92000001-92500000	7	92000001	92500000	0.95	0.996
7:92500001-93000000	7	92500001	93000000	0.934	0.903
7:93000001-93500000	7	93000001	93500000	1.003	1.163
7:93500001-94000000	7	93500001	94000000	1.003	1.126
7:94000001-94500000	7	94000001	94500000	0.977	1.08
7:94500001-95000000	7	94500001	95000000	1.024	0.988
7:95000001-95500000	7	95000001	95500000	1.07	1.078
7:96000001-96500000	7	96000001	96500000	0.98	1.046
7:96500001-97000000	7	96500001	97000000	1.01	0.975
7:97000001-97500000	7	97000001	97500000	1.008	0.915
7:98000001-98500000	7	98000001	98500000	1.007	1.043
7:98500001-99000000	7	98500001	99000000	0.974	0.939
7:99000001-99500000	7	99000001	99500000	0.893	0.955
7:99500001-100000000	7	99500001	100000000	0.969	0.941
7:100500001-101000000	7	100500001	101000000	1.1	1.038
7:101000001-101500000	7	101000001	101500000	1.025	0.931
7:101500001-102000000	7	101500001	102000000	1.064	1.045
7:103500001-104000000	7	103500001	104000000	1.06	0.969
7:104000001-104500000	7	104000001	104500000	1.025	1.078
7:105000001-105500000	7	105000001	105500000	0.916	0.902
7:105500001-106000000	7	105500001	106000000	1.029	1.017
7:106000001-106500000	7	106000001	106500000	0.988	1.049
7:106500001-107000000	7	106500001	107000000	1.02	1.094
7:107000001-107500000	7	107000001	107500000	0.903	0.881
7:107500001-108000000	7	107500001	108000000	0.985	1.033
7:108000001-108500000	7	108000001	108500000	0.997	0.904
7:108500001-109000000	7	108500001	109000000	0.927	0.991
7:109000001-109500000	7	109000001	109500000	1.026	1.031
7:109500001-110000000	7	109500001	110000000	0.945	1.021
7:110000001-110500000	7	110000001	110500000	0.987	1.051
7:110500001-111000000	7	110500001	111000000	0.98	1.105
7:111000001-111500000	7	111000001	111500000	1.023	1.069
7:111500001-112000000	7	111500001	112000000	1.07	1.061
7:112500001-113000000	7	112500001	113000000	0.955	0.978
7:113000001-113500000	7	113000001	113500000	0.976	0.916
7:113500001-114000000	7	113500001	114000000	0.97	0.923
7:114000001-114500000	7	114000001	114500000	1.013	1.16
7:114500001-115000000	7	114500001	115000000	1.068	1.036
7:115000001-115500000	7	115000001	115500000	1.106	1.046
7:115500001-116000000	7	115500001	116000000	1.024	1.119
7:116000001-116500000	7	116000001	116500000	1.01	1.018
7:116500001-117000000	7	116500001	117000000	0.944	0.982
7:117500001-118000000	7	117500001	118000000	1.035	1.09
7:118000001-118500000	7	118000001	118500000	1.018	1.009
7:118500001-119000000	7	118500001	119000000	1.026	1
7:119000001-119500000	7	119000001	119500000	1.015	1.032
7:119500001-120000000	7	119500001	120000000	1.016	1.103
7:120000001-120500000	7	120000001	120500000	1.016	1.091
7:120500001-121000000	7	120500001	121000000	0.974	1.081
7:121000001-121500000	7	121000001	121500000	1.048	1.041
7:121500001-122000000	7	121500001	122000000	1.017	1.035
7:122000001-122500000	7	122000001	122500000	1.044	0.917
7:122500001-123000000	7	122500001	123000000	1.061	0.985
7:123000001-123500000	7	123000001	123500000	0.99	1.135
7:123500001-124000000	7	123500001	124000000	0.977	0.904
7:124000001-124500000	7	124000001	124500000	1.031	1.016
7:124500001-125000000	7	124500001	125000000	0.964	0.945
7:125000001-125500000	7	125000001	125500000	0.967	0.977
7:125500001-126000000	7	125500001	126000000	0.983	1.099
7:126000001-126500000	7	126000001	126500000	0.998	1.069
7:126500001-127000000	7	126500001	127000000	1.085	1.148
7:127000001-127500000	7	127000001	127500000	0.985	1.027
7:127500001-128000000	7	127500001	128000000	0.921	0.968
7:128000001-128500000	7	128000001	128500000	1.031	0.995
7:129000001-129500000	7	129000001	129500000	0.916	0.96
7:129500001-130000000	7	129500001	130000000	0.966	0.993
7:130500001-131000000	7	130500001	131000000	0.979	1.082
7:131000001-131500000	7	131000001	131500000	1.016	0.927
7:131500001-132000000	7	131500001	132000000	1.036	1.055
7:132000001-132500000	7	132000001	132500000	0.965	0.894
7:132500001-133000000	7	132500001	133000000	0.973	0.942
7:133000001-133500000	7	133000001	133500000	0.948	1.101
7:133500001-134000000	7	133500001	134000000	0.982	1.056
7:134000001-134500000	7	134000001	134500000	0.989	0.905
7:134500001-135000000	7	134500001	135000000	0.908	0.971
7:135000001-135500000	7	135000001	135500000	0.913	0.843
7:135500001-136000000	7	135500001	136000000	0.954	0.93
7:136000001-136500000	7	136000001	136500000	1.044	0.975
7:136500001-137000000	7	136500001	137000000	0.947	0.941
7:137000001-137500000	7	137000001	137500000	0.997	1.067
7:137500001-138000000	7	137500001	138000000	1.008	1.047
7:138000001-138500000	7	138000001	138500000	0.976	0.856
7:138500001-139000000	7	138500001	139000000	1.016	0.982
7:139000001-139500000	7	139000001	139500000	0.911	0.929
7:139500001-140000000	7	139500001	140000000	0.935	0.9
7:140000001-140500000	7	140000001	140500000	1.011	0.976
7:140500001-141000000	7	140500001	141000000	1.012	0.954
7:142000001-142500000	7	142000001	142500000	0.965	0.884
7:144500001-145000000	7	144500001	145000000	1.039	1.062
7:145000001-145500000	7	145000001	145500000	0.905	1.066
7:146000001-146500000	7	146000001	146500000	1	0.991
7:146500001-147000000	7	146500001	147000000	1.069	0.928
7:147000001-147500000	7	147000001	147500000	1	1.019
7:147500001-148000000	7	147500001	148000000	0.998	0.928
7:148000001-148500000	7	148000001	148500000	1.014	0.93
7:148500001-149000000	7	148500001	149000000	0.947	0.908
7:149000001-149500000	7	149000001	149500000	0.91	0.953
7:150500001-151000000	7	150500001	151000000	1.126	1.086
7:151000001-151500000	7	151000001	151500000	0.908	0.926
7:151500001-152000000	7	151500001	152000000	0.921	0.916
7:153000001-153500000	7	153000001	153500000	0.967	0.951
7:154500001-155000000	7	154500001	155000000	0.914	0.909
7:155000001-155500000	7	155000001	155500000	0.927	1.006
7:155500001-156000000	7	155500001	156000000	0.93	1.06
7:156000001-156500000	7	156000001	156500000	0.987	0.962
7:156500001-157000000	7	156500001	157000000	0.984	0.948
7:157000001-157500000	7	157000001	157500000	0.939	0.897
7:157500001-158000000	7	157500001	158000000	1.003	1.057
7:158000001-158500000	7	158000001	158500000	0.994	1.023
7:158500001-159000000	7	158500001	159000000	0.881	0.924
8:1000001-1500000	8	1000001	1500000	1.076	1.105
8:1500001-2000000	8	1500001	2000000	1.033	1.231
8:2500001-3000000	8	2500001	3000000	0.97	1.115
8:3000001-3500000	8	3000001	3500000	0.942	0.912
8:3500001-4000000	8	3500001	4000000	0.874	0.914
8:4000001-4500000	8	4000001	4500000	0.954	0.972
8:4500001-5000000	8	4500001	5000000	0.929	1.01
8:5000001-5500000	8	5000001	5500000	0.941	0.947
8:5500001-6000000	8	5500001	6000000	0.942	0.944
8:6000001-6500000	8	6000001	6500000	0.954	0.892
8:6500001-7000000	8	6500001	7000000	0.919	0.987
8:8500001-9000000	8	8500001	9000000	0.985	0.995
8:9000001-9500000	8	9000001	9500000	1.004	0.98
8:9500001-10000000	8	9500001	10000000	0.988	0.992
8:10000001-10500000	8	10000001	10500000	0.952	1.012
8:10500001-11000000	8	10500001	11000000	0.952	1
8:11000001-11500000	8	11000001	11500000	1	1.078
8:11500001-12000000	8	11500001	12000000	1.023	1.073
8:13500001-14000000	8	13500001	14000000	1.008	0.963
8:14000001-14500000	8	14000001	14500000	1.034	1.013
8:14500001-15000000	8	14500001	15000000	1.009	0.951
8:15000001-15500000	8	15000001	15500000	0.94	0.92
8:15500001-16000000	8	15500001	16000000	0.931	1.006
8:16500001-17000000	8	16500001	17000000	0.988	0.987
8:17000001-17500000	8	17000001	17500000	0.872	1.004
8:17500001-18000000	8	17500001	18000000	0.885	0.967
8:18000001-18500000	8	18000001	18500000	0.891	1.018
8:19000001-19500000	8	19000001	19500000	0.966	1.019
8:19500001-20000000	8	19500001	20000000	0.997	1.111
8:20000001-20500000	8	20000001	20500000	1.038	1.08
8:21000001-21500000	8	21000001	21500000	1.136	0.98
8:21500001-22000000	8	21500001	22000000	1.011	1.034
8:22000001-22500000	8	22000001	22500000	0.913	0.945
8:22500001-23000000	8	22500001	23000000	0.896	0.942
8:23000001-23500000	8	23000001	23500000	1.002	0.951
8:23500001-24000000	8	23500001	24000000	0.986	1.019
8:24000001-24500000	8	24000001	24500000	1.043	1.097
8:24500001-25000000	8	24500001	25000000	1.011	0.966
8:25000001-25500000	8	25000001	25500000	0.95	0.862
8:25500001-26000000	8	25500001	26000000	1.056	0.924
8:26000001-26500000	8	26000001	26500000	0.982	0.907
8:26500001-27000000	8	26500001	27000000	0.948	0.881
8:27000001-27500000	8	27000001	27500000	0.98	0.845
8:27500001-28000000	8	27500001	28000000	1.002	0.945
8:28000001-28500000	8	28000001	28500000	0.992	0.891
8:28500001-29000000	8	28500001	29000000	0.959	1.052
8:29000001-29500000	8	29000001	29500000	0.996	0.951
8:29500001-30000000	8	29500001	30000000	1.061	1.144
8:30000001-30500000	8	30000001	30500000	0.999	1.03
8:30500001-31000000	8	30500001	31000000	0.92	0.914
8:31000001-31500000	8	31000001	31500000	0.957	0.927
8:31500001-32000000	8	31500001	32000000	0.956	0.996
8:32000001-32500000	8	32000001	32500000	0.907	0.971
8:33500001-34000000	8	33500001	34000000	1.021	0.907
8:34000001-34500000	8	34000001	34500000	0.989	0.949
8:34500001-35000000	8	34500001	35000000	0.969	0.946
8:35000001-35500000	8	35000001	35500000	0.974	1.008
8:35500001-36000000	8	35500001	36000000	1.004	1.061
8:36500001-37000000	8	36500001	37000000	1.229	2.247
8:37000001-37500000	8	37000001	37500000	1.088	1.778
8:37500001-38000000	8	37500001	38000000	1.147	1.485
8:38000001-38500000	8	38000001	38500000	1.043	1.226
8:38500001-39000000	8	38500001	39000000	1.059	1.168
8:39000001-39500000	8	39000001	39500000	1.01	1.332
8:39500001-40000000	8	39500001	40000000	1.054	1.356
8:40500001-41000000	8	40500001	41000000	0.967	1.048
8:41000001-41500000	8	41000001	41500000	0.973	1.056
8:41500001-42000000	8	41500001	42000000	0.991	0.967
8:42000001-42500000	8	42000001	42500000	0.978	1.037
8:42500001-43000000	8	42500001	43000000	1.023	0.959
8:47000001-47500000	8	47000001	47500000	1.037	0.917
8:47500001-48000000	8	47500001	48000000	0.925	1.042
8:48000001-48500000	8	48000001	48500000	1.149	1.197
8:48500001-49000000	8	48500001	49000000	1.096	1.138
8:49000001-49500000	8	49000001	49500000	1.023	1.03
8:49500001-50000000	8	49500001	50000000	0.907	0.995
8:50000001-50500000	8	50000001	50500000	0.976	0.921
8:51000001-51500000	8	51000001	51500000	0.986	0.964
8:51500001-52000000	8	51500001	52000000	0.995	1.233
8:52000001-52500000	8	52000001	52500000	1.01	1.242
8:52500001-53000000	8	52500001	53000000	0.934	1.169
8:53000001-53500000	8	53000001	53500000	1.059	1.124
8:53500001-54000000	8	53500001	54000000	1.022	0.996
8:54000001-54500000	8	54000001	54500000	0.929	0.93
8:54500001-55000000	8	54500001	55000000	1.095	0.994
8:55000001-55500000	8	55000001	55500000	0.986	1.039
8:55500001-56000000	8	55500001	56000000	0.962	0.94
8:56000001-56500000	8	56000001	56500000	1.042	1.025
8:57000001-57500000	8	57000001	57500000	1.01	1.019
8:57500001-58000000	8	57500001	58000000	1.051	1.103
8:58000001-58500000	8	58000001	58500000	1.019	1.093
8:58500001-59000000	8	58500001	59000000	1.007	1
8:59000001-59500000	8	59000001	59500000	1.03	0.974
8:59500001-60000000	8	59500001	60000000	1.039	1.03
8:60000001-60500000	8	60000001	60500000	1.09	1.052
8:60500001-61000000	8	60500001	61000000	0.935	1.027
8:61500001-62000000	8	61500001	62000000	0.966	0.898
8:62000001-62500000	8	62000001	62500000	0.994	0.965
8:62500001-63000000	8	62500001	63000000	1.026	0.947
8:63000001-63500000	8	63000001	63500000	0.962	0.94
8:63500001-64000000	8	63500001	64000000	1.018	1.033
8:64000001-64500000	8	64000001	64500000	0.984	1.005
8:64500001-65000000	8	64500001	65000000	1.058	1.054
8:65000001-65500000	8	65000001	65500000	1.01	1.003
8:65500001-66000000	8	65500001	66000000	0.964	1.04
8:66000001-66500000	8	66000001	66500000	1.045	1.074
8:66500001-67000000	8	66500001	67000000	0.952	0.976
8:67000001-67500000	8	67000001	67500000	0.943	0.952
8:68000001-68500000	8	68000001	68500000	1.033	0.957
8:68500001-69000000	8	68500001	69000000	1.014	1.026
8:69500001-70000000	8	69500001	70000000	1.05	1.052
8:70000001-70500000	8	70000001	70500000	0.954	0.884
8:70500001-71000000	8	70500001	71000000	1.055	0.956
8:71000001-71500000	8	71000001	71500000	0.961	0.995
8:71500001-72000000	8	71500001	72000000	1.022	1.062
8:72000001-72500000	8	72000001	72500000	0.972	0.992
8:73000001-73500000	8	73000001	73500000	0.974	0.973
8:73500001-74000000	8	73500001	74000000	0.984	0.867
8:74000001-74500000	8	74000001	74500000	0.998	0.961
8:75000001-75500000	8	75000001	75500000	1.017	1.056
8:75500001-76000000	8	75500001	76000000	0.949	1.022
8:77000001-77500000	8	77000001	77500000	0.978	1.094
8:77500001-78000000	8	77500001	78000000	1	0.946
8:78000001-78500000	8	78000001	78500000	0.962	1.043
8:78500001-79000000	8	78500001	79000000	1.006	1.016
8:79000001-79500000	8	79000001	79500000	0.961	1.001
8:79500001-80000000	8	79500001	80000000	1.016	1.069
8:80000001-80500000	8	80000001	80500000	0.986	0.958
8:80500001-81000000	8	80500001	81000000	1.142	1
8:81000001-81500000	8	81000001	81500000	1.03	1.079
8:81500001-82000000	8	81500001	82000000	0.981	0.985
8:82000001-82500000	8	82000001	82500000	1.033	1.1
8:82500001-83000000	8	82500001	83000000	0.955	1.019
8:83000001-83500000	8	83000001	83500000	1.041	1.042
8:83500001-84000000	8	83500001	84000000	0.962	1.152
8:84000001-84500000	8	84000001	84500000	1.004	1.039
8:84500001-85000000	8	84500001	85000000	1.082	1.171
8:85000001-85500000	8	85000001	85500000	1.076	1.118
8:86000001-86500000	8	86000001	86500000	0.949	1.059
8:86500001-87000000	8	86500001	87000000	1.104	1.104
8:87000001-87500000	8	87000001	87500000	1.047	1.225
8:87500001-88000000	8	87500001	88000000	1.001	1.185
8:88000001-88500000	8	88000001	88500000	1.024	0.98
8:88500001-89000000	8	88500001	89000000	0.997	1.239
8:89000001-89500000	8	89000001	89500000	1.073	1.058
8:89500001-90000000	8	89500001	90000000	1.017	1.097
8:90000001-90500000	8	90000001	90500000	1.023	1.048
8:90500001-91000000	8	90500001	91000000	0.98	1.038
8:91000001-91500000	8	91000001	91500000	1.123	1.292
8:91500001-92000000	8	91500001	92000000	1.069	1.041
8:92000001-92500000	8	92000001	92500000	1.007	0.977
8:92500001-93000000	8	92500001	93000000	1.053	1.055
8:93000001-93500000	8	93000001	93500000	1.031	1.05
8:93500001-94000000	8	93500001	94000000	1.005	0.995
8:94000001-94500000	8	94000001	94500000	1.017	1.06
8:94500001-95000000	8	94500001	95000000	0.95	0.979
8:95000001-95500000	8	95000001	95500000	1.035	1.093
8:95500001-96000000	8	95500001	96000000	1.097	1.069
8:96000001-96500000	8	96000001	96500000	1.065	1.143
8:96500001-97000000	8	96500001	97000000	1.094	1.101
8:97000001-97500000	8	97000001	97500000	1.059	1.09
8:98000001-98500000	8	98000001	98500000	0.941	1.106
8:98500001-99000000	8	98500001	99000000	1.116	1.21
8:99500001-100000000	8	99500001	100000000	1.056	1.07
8:100000001-100500000	8	100000001	100500000	0.996	1.197
8:100500001-101000000	8	100500001	101000000	1.001	0.991
8:101000001-101500000	8	101000001	101500000	1	1.007
8:101500001-102000000	8	101500001	102000000	1.082	1.104
8:102000001-102500000	8	102000001	102500000	0.977	1.119
8:103500001-104000000	8	103500001	104000000	0.997	1.154
8:104000001-104500000	8	104000001	104500000	1.052	1.09
8:104500001-105000000	8	104500001	105000000	1.019	1.148
8:105000001-105500000	8	105000001	105500000	1.098	1.137
8:105500001-106000000	8	105500001	106000000	1.045	1.162
8:106000001-106500000	8	106000001	106500000	1.014	1.034
8:106500001-107000000	8	106500001	107000000	1.048	1.127
8:107000001-107500000	8	107000001	107500000	0.998	1.027
8:107500001-108000000	8	107500001	108000000	1.059	1.092
8:108000001-108500000	8	108000001	108500000	1.075	1.006
8:109000001-109500000	8	109000001	109500000	1.06	1.171
8:109500001-110000000	8	109500001	110000000	1.06	1.256
8:110000001-110500000	8	110000001	110500000	1.044	1.157
8:111500001-112000000	8	111500001	112000000	0.942	1.247
8:112000001-112500000	8	112000001	112500000	1.068	1.114
8:112500001-113000000	8	112500001	113000000	1.013	1.062
8:113000001-113500000	8	113000001	113500000	1.002	1.095
8:113500001-114000000	8	113500001	114000000	1.02	1.137
8:114000001-114500000	8	114000001	114500000	0.968	1.168
8:114500001-115000000	8	114500001	115000000	1.053	1.114
8:115000001-115500000	8	115000001	115500000	1.05	0.969
8:115500001-116000000	8	115500001	116000000	1.063	1
8:116000001-116500000	8	116000001	116500000	1.075	1.115
8:116500001-117000000	8	116500001	117000000	1.021	1.01
8:117000001-117500000	8	117000001	117500000	1.029	1.143
8:117500001-118000000	8	117500001	118000000	1.011	1.181
8:118000001-118500000	8	118000001	118500000	0.995	1.218
8:118500001-119000000	8	118500001	119000000	1.112	1.233
8:119000001-119500000	8	119000001	119500000	1.091	1.108
8:119500001-120000000	8	119500001	120000000	1.063	1.005
8:120500001-121000000	8	120500001	121000000	1.06	0.925
8:121000001-121500000	8	121000001	121500000	1.073	1.223
8:121500001-122000000	8	121500001	122000000	1.036	1.152
8:122000001-122500000	8	122000001	122500000	1.091	1.095
8:122500001-123000000	8	122500001	123000000	0.979	1.001
8:123000001-123500000	8	123000001	123500000	0.963	1.01
8:123500001-124000000	8	123500001	124000000	1.062	1.098
8:124000001-124500000	8	124000001	124500000	0.998	1.186
8:124500001-125000000	8	124500001	125000000	0.908	1.003
8:125000001-125500000	8	125000001	125500000	1.024	1.012
8:125500001-126000000	8	125500001	126000000	1.038	1.133
8:126000001-126500000	8	126000001	126500000	1.065	1.122
8:126500001-127000000	8	126500001	127000000	1.116	1.236
8:128000001-128500000	8	128000001	128500000	1.122	1.195
8:128500001-129000000	8	128500001	129000000	1.075	1.265
8:129000001-129500000	8	129000001	129500000	1.055	1.269
8:129500001-130000000	8	129500001	130000000	1.044	1.31
8:130000001-130500000	8	130000001	130500000	0.958	1.137
8:130500001-131000000	8	130500001	131000000	1.16	1.616
8:131000001-131500000	8	131000001	131500000	1.096	1.354
8:131500001-132000000	8	131500001	132000000	1.059	1.393
8:132000001-132500000	8	132000001	132500000	1.091	1.516
8:132500001-133000000	8	132500001	133000000	1.122	1.564
8:133000001-133500000	8	133000001	133500000	1.091	1.509
8:134000001-134500000	8	134000001	134500000	1.054	1.227
8:134500001-135000000	8	134500001	135000000	0.945	1.209
8:135000001-135500000	8	135000001	135500000	1.077	1.16
8:135500001-136000000	8	135500001	136000000	1.009	1.186
8:136000001-136500000	8	136000001	136500000	1.013	1.297
8:136500001-137000000	8	136500001	137000000	1.01	1.248
8:137000001-137500000	8	137000001	137500000	1.053	1.316
8:137500001-138000000	8	137500001	138000000	1.003	1.222
8:138000001-138500000	8	138000001	138500000	1.08	1.086
8:138500001-139000000	8	138500001	139000000	1.006	1.167
8:139000001-139500000	8	139000001	139500000	1.077	1.1
8:139500001-140000000	8	139500001	140000000	0.937	1.143
8:140000001-140500000	8	140000001	140500000	1.005	1.113
8:140500001-141000000	8	140500001	141000000	0.965	1.01
8:141000001-141500000	8	141000001	141500000	0.976	1.013
8:141500001-142000000	8	141500001	142000000	1.028	1.249
8:142000001-142500000	8	142000001	142500000	1.039	1.127
8:142500001-143000000	8	142500001	143000000	1.11	1.208
8:143000001-143500000	8	143000001	143500000	1.016	1.223
8:143500001-144000000	8	143500001	144000000	1.027	1.154
8:144000001-144500000	8	144000001	144500000	1.031	1.058
8:144500001-145000000	8	144500001	145000000	0.961	1
9:500001-1000000	9	500001	1000000	1.037	0.977
9:1000001-1500000	9	1000001	1500000	0.982	1.008
9:1500001-2000000	9	1500001	2000000	1.087	1.024
9:2000001-2500000	9	2000001	2500000	0.901	0.984
9:2500001-3000000	9	2500001	3000000	0.943	1.136
9:3000001-3500000	9	3000001	3500000	0.971	0.968
9:3500001-4000000	9	3500001	4000000	1.006	1.035
9:4000001-4500000	9	4000001	4500000	1.051	0.961
9:4500001-5000000	9	4500001	5000000	0.929	1.025
9:5500001-6000000	9	5500001	6000000	0.959	1.019
9:6000001-6500000	9	6000001	6500000	1.018	0.996
9:6500001-7000000	9	6500001	7000000	0.991	0.896
9:7000001-7500000	9	7000001	7500000	1.032	0.886
9:7500001-8000000	9	7500001	8000000	0.989	1.003
9:8000001-8500000	9	8000001	8500000	0.987	1.064
9:8500001-9000000	9	8500001	9000000	0.995	1.034
9:9000001-9500000	9	9000001	9500000	1.009	0.984
9:10000001-10500000	9	10000001	10500000	1.018	0.985
9:10500001-11000000	9	10500001	11000000	1.047	0.999
9:11000001-11500000	9	11000001	11500000	0.919	0.927
9:11500001-12000000	9	11500001	12000000	1.011	1.062
9:12000001-12500000	9	12000001	12500000	0.974	1.037
9:12500001-13000000	9	12500001	13000000	1.023	0.986
9:13000001-13500000	9	13000001	13500000	1.023	0.957
9:13500001-14000000	9	13500001	14000000	0.976	1.001
9:14000001-14500000	9	14000001	14500000	0.992	1.041
9:14500001-15000000	9	14500001	15000000	0.942	1.077
9:15000001-15500000	9	15000001	15500000	0.937	1.145
9:16000001-16500000	9	16000001	16500000	1.002	0.999
9:16500001-17000000	9	16500001	17000000	0.963	0.962
9:17000001-17500000	9	17000001	17500000	1.038	1.042
9:17500001-18000000	9	17500001	18000000	0.976	0.977
9:18500001-19000000	9	18500001	19000000	0.959	1.03
9:19000001-19500000	9	19000001	19500000	0.93	1.025
9:19500001-20000000	9	19500001	20000000	1.033	0.96
9:20000001-20500000	9	20000001	20500000	1.039	1.108
9:20500001-21000000	9	20500001	21000000	0.987	1.05
9:21000001-21500000	9	21000001	21500000	0.963	1.016
9:21500001-22000000	9	21500001	22000000	1.003	0.973
9:22000001-22500000	9	22000001	22500000	1.026	0.943
9:22500001-23000000	9	22500001	23000000	0.998	0.872
9:23000001-23500000	9	23000001	23500000	0.946	0.928
9:23500001-24000000	9	23500001	24000000	0.956	0.873
9:24000001-24500000	9	24000001	24500000	0.991	1.086
9:24500001-25000000	9	24500001	25000000	0.983	1.097
9:25000001-25500000	9	25000001	25500000	0.933	0.901
9:25500001-26000000	9	25500001	26000000	0.942	1.002
9:26000001-26500000	9	26000001	26500000	1.041	0.994
9:26500001-27000000	9	26500001	27000000	0.958	1.016
9:27000001-27500000	9	27000001	27500000	0.974	0.997
9:27500001-28000000	9	27500001	28000000	1.009	0.979
9:28000001-28500000	9	28000001	28500000	1.034	0.834
9:28500001-29000000	9	28500001	29000000	0.818	0.734
9:29000001-29500000	9	29000001	29500000	1.01	1.022
9:29500001-30000000	9	29500001	30000000	0.924	0.996
9:30000001-30500000	9	30000001	30500000	0.954	1.006
9:30500001-31000000	9	30500001	31000000	0.986	0.915
9:31500001-32000000	9	31500001	32000000	0.984	0.927
9:32000001-32500000	9	32000001	32500000	1.027	1.053
9:32500001-33000000	9	32500001	33000000	1.014	1.016
9:33000001-33500000	9	33000001	33500000	0.947	1.04
9:34000001-34500000	9	34000001	34500000	1.007	0.914
9:35000001-35500000	9	35000001	35500000	0.915	1.009
9:35500001-36000000	9	35500001	36000000	0.952	0.962
9:36500001-37000000	9	36500001	37000000	1.091	1.071
9:37000001-37500000	9	37000001	37500000	0.942	0.87
9:37500001-38000000	9	37500001	38000000	1.018	1.073
9:38000001-38500000	9	38000001	38500000	1.054	1
9:68500001-69000000	9	68500001	69000000	0.956	0.985
9:69000001-69500000	9	69000001	69500000	1.065	0.937
9:69500001-70000000	9	69500001	70000000	1.031	1.013
9:70000001-70500000	9	70000001	70500000	1.009	0.933
9:70500001-71000000	9	70500001	71000000	0.922	1.079
9:71000001-71500000	9	71000001	71500000	1.034	1.09
9:71500001-72000000	9	71500001	72000000	0.948	1.001
9:72000001-72500000	9	72000001	72500000	0.965	1.044
9:73000001-73500000	9	73000001	73500000	0.984	0.902
9:73500001-74000000	9	73500001	74000000	1.011	1.097
9:74000001-74500000	9	74000001	74500000	0.928	0.994
9:74500001-75000000	9	74500001	75000000	0.982	0.992
9:75000001-75500000	9	75000001	75500000	0.984	0.798
9:75500001-76000000	9	75500001	76000000	1.009	0.98
9:76000001-76500000	9	76000001	76500000	1.05	0.889
9:76500001-77000000	9	76500001	77000000	0.996	1.042
9:77000001-77500000	9	77000001	77500000	1.058	0.912
9:77500001-78000000	9	77500001	78000000	0.975	0.929
9:78000001-78500000	9	78000001	78500000	1.126	1.044
9:79000001-79500000	9	79000001	79500000	1.074	0.983
9:80000001-80500000	9	80000001	80500000	0.996	0.89
9:81000001-81500000	9	81000001	81500000	0.942	0.991
9:82500001-83000000	9	82500001	83000000	1.002	1.064
9:83000001-83500000	9	83000001	83500000	0.99	1.042
9:83500001-84000000	9	83500001	84000000	1.004	0.911
9:84000001-84500000	9	84000001	84500000	1.024	1.065
9:84500001-85000000	9	84500001	85000000	0.944	1.066
9:85000001-85500000	9	85000001	85500000	1.101	1.09
9:85500001-86000000	9	85500001	86000000	0.935	0.972
9:86000001-86500000	9	86000001	86500000	1.074	0.999
9:86500001-87000000	9	86500001	87000000	1.023	1.076
9:87000001-87500000	9	87000001	87500000	1.039	1.09
9:87500001-88000000	9	87500001	88000000	1.014	0.964
9:88000001-88500000	9	88000001	88500000	1.09	1.07
9:88500001-89000000	9	88500001	89000000	1.01	1.082
9:89000001-89500000	9	89000001	89500000	1.012	0.916
9:89500001-90000000	9	89500001	90000000	1.01	1.124
9:90000001-90500000	9	90000001	90500000	1.053	1.073
9:90500001-91000000	9	90500001	91000000	1.026	1.173
9:91000001-91500000	9	91000001	91500000	0.974	0.977
9:91500001-92000000	9	91500001	92000000	1.099	1.099
9:93000001-93500000	9	93000001	93500000	0.942	0.983
9:93500001-94000000	9	93500001	94000000	0.975	1.057
9:94500001-95000000	9	94500001	95000000	1.009	1.046
9:95000001-95500000	9	95000001	95500000	0.96	1.003
9:96000001-96500000	9	96000001	96500000	0.984	1.001
9:97500001-98000000	9	97500001	98000000	1.037	1.04
9:98000001-98500000	9	98000001	98500000	0.999	1.033
9:98500001-99000000	9	98500001	99000000	1.079	1.12
9:99000001-99500000	9	99000001	99500000	1.009	0.918
9:99500001-100000000	9	99500001	100000000	0.966	1.028
9:100000001-100500000	9	100000001	100500000	0.94	0.985
9:100500001-101000000	9	100500001	101000000	1.088	1.089
9:101000001-101500000	9	101000001	101500000	1.076	1.031
9:101500001-102000000	9	101500001	102000000	1.082	1.024
9:102000001-102500000	9	102000001	102500000	0.988	1.148
9:102500001-103000000	9	102500001	103000000	0.93	1.055
9:103000001-103500000	9	103000001	103500000	0.946	1.004
9:103500001-104000000	9	103500001	104000000	0.981	0.978
9:104000001-104500000	9	104000001	104500000	0.916	1.041
9:104500001-105000000	9	104500001	105000000	0.965	1.052
9:105000001-105500000	9	105000001	105500000	1.011	0.849
9:105500001-106000000	9	105500001	106000000	1.055	1.227
9:106000001-106500000	9	106000001	106500000	1.142	1.253
9:106500001-107000000	9	106500001	107000000	1.078	1.042
9:107000001-107500000	9	107000001	107500000	1.05	1.078
