feature	chromosome	start	end	SLX-17922.D708tp_D506tp.HC22GBBXY.s_6.r_1	SLX-17922.D709tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17922.D709tp_D506tp.HC22GBBXY.s_6.r_1	SLX-16150.D709tp_D507tp.HC22VBBXY.s_3.r_1
1:163000001-163500000	1	163000001	163500000	1.05	1.056	1.087	0.99
1:163500001-164000000	1	163500001	164000000	1.022	1.01	1.004	1.003
1:164000001-164500000	1	164000001	164500000	1.055	0.958	1.03	1.054
1:164500001-165000000	1	164500001	165000000	1.087	1.061	1.015	0.915
1:165000001-165500000	1	165000001	165500000	1.044	1.077	1.056	1.031
1:165500001-166000000	1	165500001	166000000	0.951	1.005	1.101	0.945
1:166000001-166500000	1	166000001	166500000	1.141	1.122	1.095	1.213
1:166500001-167000000	1	166500001	167000000	1.026	1.055	1.077	1.013
1:167000001-167500000	1	167000001	167500000	0.959	1.018	0.948	0.969
1:167500001-168000000	1	167500001	168000000	0.948	0.982	1.091	0.963
1:168000001-168500000	1	168000001	168500000	0.983	1.041	1.018	0.963
1:168500001-169000000	1	168500001	169000000	1.079	1.08	1.049	1.055
1:169500001-170000000	1	169500001	170000000	0.983	0.98	1.004	1.08
1:170500001-171000000	1	170500001	171000000	0.96	0.984	0.989	0.981
1:171000001-171500000	1	171000001	171500000	0.958	1.012	1.035	1.013
1:171500001-172000000	1	171500001	172000000	1.01	0.969	1.02	1.018
1:172000001-172500000	1	172000001	172500000	1.076	0.966	1.018	0.97
1:173000001-173500000	1	173000001	173500000	1.057	1.039	1.04	1.113
1:173500001-174000000	1	173500001	174000000	0.996	0.948	1.031	0.979
1:174000001-174500000	1	174000001	174500000	1.002	1.001	1.057	0.911
1:174500001-175000000	1	174500001	175000000	1.022	0.965	1.024	0.953
1:175000001-175500000	1	175000001	175500000	1.05	1.024	1.077	1.068
1:175500001-176000000	1	175500001	176000000	0.988	1.012	1.047	1.004
1:176000001-176500000	1	176000001	176500000	0.94	1.014	0.953	1.058
