feature	chromosome	start	end	SLX-17922.D709tp_D508tp.HC22GBBXY.s_6.r_1	SLX-17922.D710tp_D503tp.HC22GBBXY.s_6.r_1	SLX-17922.D710tp_D506tp.HC22GBBXY.s_6.r_1
1:187000001-187500000	1	187000001	187500000	1.028	0.967	0.988
1:187500001-188000000	1	187500001	188000000	1.01	1.01	0.931
1:188000001-188500000	1	188000001	188500000	1.048	1.03	0.966
1:188500001-189000000	1	188500001	189000000	0.996	0.928	1.072
1:189000001-189500000	1	189000001	189500000	1.076	0.958	0.942
1:189500001-190000000	1	189500001	190000000	1.015	0.992	0.949
1:190000001-190500000	1	190000001	190500000	1.071	0.965	1.066
1:190500001-191000000	1	190500001	191000000	1.032	1.007	1.085
1:191000001-191500000	1	191000001	191500000	0.98	0.975	0.968
1:192000001-192500000	1	192000001	192500000	0.989	0.932	1.046
1:192500001-193000000	1	192500001	193000000	1.095	1.18	0.924
1:193000001-193500000	1	193000001	193500000	0.996	1.123	0.991
1:193500001-194000000	1	193500001	194000000	1.06	0.892	0.965
1:194000001-194500000	1	194000001	194500000	0.911	0.967	1.004
1:194500001-195000000	1	194500001	195000000	0.869	1.007	1.023
1:195500001-196000000	1	195500001	196000000	0.965	0.865	1.098
1:196000001-196500000	1	196000001	196500000	1.011	0.977	1.027
1:197000001-197500000	1	197000001	197500000	0.983	0.962	0.915
1:197500001-198000000	1	197500001	198000000	1.032	1.059	1.023
1:198000001-198500000	1	198000001	198500000	1.105	1.042	1.034
1:198500001-199000000	1	198500001	199000000	0.936	1.025	1.007
1:199500001-200000000	1	199500001	200000000	0.982	0.993	1.011
1:200000001-200500000	1	200000001	200500000	1.032	0.902	0.956
1:200500001-201000000	1	200500001	201000000	1.042	0.959	1.045
1:201000001-201500000	1	201000001	201500000	1.035	1.056	1.005
1:201500001-202000000	1	201500001	202000000	1.059	0.939	1.016
1:202000001-202500000	1	202000001	202500000	0.974	1.048	1.097
1:202500001-203000000	1	202500001	203000000	1.077	1.102	1.019
1:203000001-203500000	1	203000001	203500000	0.989	0.954	1.007
1:203500001-204000000	1	203500001	204000000	0.949	1.082	1.052
1:204000001-204500000	1	204000001	204500000	1.09	1.072	0.952
1:204500001-205000000	1	204500001	205000000	1.105	1.078	1.019
1:205000001-205500000	1	205000001	205500000	1.041	1.028	0.971
1:205500001-206000000	1	205500001	206000000	0.97	1.082	1.059
1:206500001-207000000	1	206500001	207000000	0.916	0.901	0.99
1:207000001-207500000	1	207000001	207500000	0.949	0.983	0.905
1:207500001-208000000	1	207500001	208000000	0.959	1.028	0.923
1:208000001-208500000	1	208000001	208500000	1.016	1.031	1.045
1:208500001-209000000	1	208500001	209000000	1.05	1.022	1.029
1:209000001-209500000	1	209000001	209500000	0.983	1.03	1.021
1:209500001-210000000	1	209500001	210000000	1.013	1	1.047
1:210000001-210500000	1	210000001	210500000	1.031	1.032	1.064
1:210500001-211000000	1	210500001	211000000	1.047	1.073	1.067
1:211000001-211500000	1	211000001	211500000	1.027	0.911	1.085
1:211500001-212000000	1	211500001	212000000	1.053	1.005	0.971
1:212000001-212500000	1	212000001	212500000	1.027	0.999	0.951
1:212500001-213000000	1	212500001	213000000	0.957	1.014	0.932
1:213000001-213500000	1	213000001	213500000	1.049	0.985	0.972
1:213500001-214000000	1	213500001	214000000	1.06	0.989	1.047
1:214000001-214500000	1	214000001	214500000	0.903	1.062	0.973
1:216000001-216500000	1	216000001	216500000	1.106	1.069	1.026
1:216500001-217000000	1	216500001	217000000	0.957	1.028	1.074
1:217000001-217500000	1	217000001	217500000	0.956	0.998	0.981
1:217500001-218000000	1	217500001	218000000	0.952	0.956	0.987
1:218000001-218500000	1	218000001	218500000	0.974	1.026	1.006
1:218500001-219000000	1	218500001	219000000	1.001	0.981	0.959
1:219000001-219500000	1	219000001	219500000	0.963	0.922	0.945
1:219500001-220000000	1	219500001	220000000	0.914	0.932	1.051
1:220000001-220500000	1	220000001	220500000	1.004	0.933	0.916
1:220500001-221000000	1	220500001	221000000	0.901	0.916	1.082
1:221000001-221500000	1	221000001	221500000	0.97	1.083	1.043
1:221500001-222000000	1	221500001	222000000	0.981	0.963	0.961
1:222000001-222500000	1	222000001	222500000	1.063	1.08	1.148
1:222500001-223000000	1	222500001	223000000	1.041	1.043	1.054
1:223000001-223500000	1	223000001	223500000	1.132	1.053	1.035
1:224000001-224500000	1	224000001	224500000	0.939	0.869	0.91
1:224500001-225000000	1	224500001	225000000	1.14	1.014	1.028
1:225000001-225500000	1	225000001	225500000	0.985	1.09	1.033
1:225500001-226000000	1	225500001	226000000	1.013	1.114	0.976
1:226000001-226500000	1	226000001	226500000	0.94	1.028	0.922
1:227000001-227500000	1	227000001	227500000	0.966	0.972	0.946
1:228000001-228500000	1	228000001	228500000	0.978	0.945	0.857
1:228500001-229000000	1	228500001	229000000	1.159	1.105	1.136
1:229500001-230000000	1	229500001	230000000	0.956	1.003	0.974
1:230000001-230500000	1	230000001	230500000	0.985	0.919	0.932
1:230500001-231000000	1	230500001	231000000	0.987	0.992	0.932
1:231000001-231500000	1	231000001	231500000	0.927	1.116	0.974
1:231500001-232000000	1	231500001	232000000	1.019	1.082	1.101
1:232000001-232500000	1	232000001	232500000	1.11	1.06	1.04
1:232500001-233000000	1	232500001	233000000	1.06	1.067	1.047
1:233500001-234000000	1	233500001	234000000	0.959	1.067	0.999
1:234000001-234500000	1	234000001	234500000	1.051	0.892	1.081
1:234500001-235000000	1	234500001	235000000	1.013	0.932	1.027
1:235000001-235500000	1	235000001	235500000	0.894	0.923	1.048
1:236000001-236500000	1	236000001	236500000	0.987	0.972	0.969
1:236500001-237000000	1	236500001	237000000	1.016	1.015	0.945
1:237000001-237500000	1	237000001	237500000	1.022	0.967	1.026
1:238000001-238500000	1	238000001	238500000	0.992	1.054	0.873
1:238500001-239000000	1	238500001	239000000	0.955	0.97	0.966
1:239000001-239500000	1	239000001	239500000	1.021	1.003	0.994
1:239500001-240000000	1	239500001	240000000	1.201	1.06	1.007
1:240000001-240500000	1	240000001	240500000	0.938	0.98	0.93
1:240500001-241000000	1	240500001	241000000	1.03	0.948	0.916
1:241000001-241500000	1	241000001	241500000	0.93	1.046	0.926
1:241500001-242000000	1	241500001	242000000	0.97	1.063	1.043
1:242000001-242500000	1	242000001	242500000	1.083	0.974	1.053
1:243500001-244000000	1	243500001	244000000	0.989	1.063	0.995
1:244000001-244500000	1	244000001	244500000	0.884	0.872	0.986
1:244500001-245000000	1	244500001	245000000	0.927	0.829	0.954
1:245000001-245500000	1	245000001	245500000	1.023	1.036	1.031
1:245500001-246000000	1	245500001	246000000	0.931	1.086	1.054
1:246000001-246500000	1	246000001	246500000	0.979	1.069	1.005
1:246500001-247000000	1	246500001	247000000	0.889	0.885	0.868
1:247000001-247500000	1	247000001	247500000	0.88	1.016	1.026
1:247500001-248000000	1	247500001	248000000	1.016	1.146	0.972
2:1-500000	2	1	500000	0.966	0.916	0.998
2:1500001-2000000	2	1500001	2000000	1.116	1.037	0.976
2:2000001-2500000	2	2000001	2500000	1.102	1.071	0.95
2:2500001-3000000	2	2500001	3000000	0.999	0.912	0.976
2:3000001-3500000	2	3000001	3500000	0.946	0.994	1.009
2:3500001-4000000	2	3500001	4000000	1.038	1.18	1.015
2:4000001-4500000	2	4000001	4500000	0.971	0.936	0.988
2:4500001-5000000	2	4500001	5000000	0.899	0.974	0.974
2:5000001-5500000	2	5000001	5500000	0.974	0.927	0.966
2:5500001-6000000	2	5500001	6000000	1.014	1.041	0.985
2:6000001-6500000	2	6000001	6500000	0.999	1.006	0.971
2:6500001-7000000	2	6500001	7000000	0.945	1.017	0.966
2:7000001-7500000	2	7000001	7500000	0.9	1.045	1.063
2:7500001-8000000	2	7500001	8000000	0.957	1.011	1.082
2:8000001-8500000	2	8000001	8500000	1.018	1.039	1.031
2:8500001-9000000	2	8500001	9000000	1.038	0.982	0.88
2:9000001-9500000	2	9000001	9500000	0.916	0.97	0.987
2:9500001-10000000	2	9500001	10000000	1.085	0.986	0.945
2:10000001-10500000	2	10000001	10500000	1.006	1	0.967
2:10500001-11000000	2	10500001	11000000	1.023	1.046	0.995
2:11000001-11500000	2	11000001	11500000	0.886	1.035	0.962
2:11500001-12000000	2	11500001	12000000	1.068	1.011	1.071
2:12000001-12500000	2	12000001	12500000	1.036	1.03	0.964
2:12500001-13000000	2	12500001	13000000	1.103	1.064	1.043
2:13000001-13500000	2	13000001	13500000	0.963	0.947	0.882
2:13500001-14000000	2	13500001	14000000	1.047	0.974	1.012
2:14000001-14500000	2	14000001	14500000	1.016	1.076	0.997
2:14500001-15000000	2	14500001	15000000	0.962	1.083	1.02
2:15000001-15500000	2	15000001	15500000	1.052	0.938	0.932
2:15500001-16000000	2	15500001	16000000	0.982	1.028	1.063
2:16500001-17000000	2	16500001	17000000	0.984	1.079	1.143
